Words per minute	Average sentence length	Average relative repetitions	Vocab size needed for 98% word coverage	Twenty fifth perc. log rank (unique)	Proportion of adverbs	Proportion of determiners	Proportion of nouns	Proportion of subordinating conjunctions	Proportion of wago	Proportion of gairaigo	Proportion of kango	Level
51.53095084987292	7.245283018867925	0.0128205128205128	4030	3.80666248977032	0.0331125827814569	0.0	0.1754966887417218	0.0364238410596026	0.8847457627118644	0.0576271186440678	0.0305084745762711	1
47.06622333806611	6.672727272727273	0.015625	2807	3.73658699848178	0.0171821305841924	0.0068728522336769	0.3264604810996563	0.0	0.8503649635036497	0.0364963503649635	0.0656934306569343	1
37.34674630619302	6.5	0.0169491525423728	2984	4.730627360117875	0.0353535353535353	0.0	0.2878787878787879	0.005050505050505	0.8465608465608465	0.0423280423280423	0.0846560846560846	1
47.82345300923976	7.264150943396227	0.0113636363636363	2109	4.1971162820171335	0.0325732899022801	0.003257328990228	0.3094462540716612	0.013029315960912	0.8223684210526315	0.0493421052631578	0.125	1
64.98555869252881	7.362068965517241	0.0125	5132	3.643550969211262	0.0092307692307692	0.003076923076923	0.32	0.0184615384615384	0.7612903225806451	0.0193548387096774	0.1709677419354838	1
68.21561338289963	8.576923076923077	0.0151515151515151	1540	3.639304826284662	0.0081743869209809	0.0027247956403269	0.2506811989100817	0.0544959128065395	0.8505747126436781	0.057471264367816	0.0890804597701149	1
76.1115953834878	7.9	0.0135135135135135	1617	3.923394382880427	0.0128865979381443	0.0	0.3041237113402061	0.0309278350515463	0.8179347826086957	0.0869565217391304	0.0951086956521739	1
42.136634315405296	7.37037037037037	0.0208333333333333	12478	3.2853963610127304	0.0132450331125827	0.0397350993377483	0.23841059602649	0.0397350993377483	0.96	0.0	0.0066666666666666	1
41.1528769737725	7.432432432432432	0.0192307692307692	2058	3.032324896681065	0.0048309178743961	0.0434782608695652	0.2995169082125604	0.0289855072463768	0.9705882352941176	0.0	0.0147058823529411	1
65.41446182574097	7.029411764705882	0.024390243902439	3835	2.833213344056216	0.0425531914893617	0.0053191489361702	0.2074468085106383	0.0212765957446808	0.8624338624338624	0.0	0.0529100529100529	1
56.14383645812128	6.945454545454545	0.0163934426229508	1757	3.4687296099632032	0.0189873417721519	0.0	0.3481012658227848	0.0	0.927899686520376	0.012539184952978	0.0564263322884012	1
60.8579170496614	6.872727272727273	0.0158730158730158	2160	3.3460418712533144	0.0196721311475409	0.0295081967213114	0.2229508196721311	0.0360655737704918	0.8624161073825504	0.023489932885906	0.1140939597315436	1
49.932467584345424	7.952380952380952	0.0142857142857142	6709	3.7549178361551063	0.0711610486891385	0.0	0.1385767790262172	0.0449438202247191	0.9548872180451128	0.0225563909774436	0.0225563909774436	2
54.93820520694443	7.617021276595745	0.0153846153846153	7508	3.2769667020129054	0.0176056338028169	0.0	0.2464788732394366	0.0105633802816901	0.9325842696629212	0.0	0.0674157303370786	2
107.6143934116958	15.20689655172414	0.0053475935828877	3761	4.542785242510116	0.0283870967741935	0.0038709677419354	0.3070967741935483	0.0361290322580645	0.8254172015404364	0.0089858793324775	0.1437740693196405	3
104.4795370769384	13.01388888888889	0.0048780487804878	7490	4.572120281744496	0.0196319018404908	0.0159509202453987	0.2613496932515337	0.0503067484662576	0.7641975308641975	0.0049382716049382	0.1691358024691358	3
120.32577102754044	19.91176470588235	0.0062499999999999	5332	4.166635176627654	0.0428571428571428	0.0017857142857142	0.2392857142857143	0.0660714285714285	0.8442028985507246	0.0181159420289855	0.1286231884057971	3
115.39620411964296	19.153846153846153	0.0054644808743169	4984	4.4657068105694835	0.0408401400233372	0.0058343057176196	0.2287047841306884	0.0548424737456242	0.7600472813238771	0.0236406619385342	0.1879432624113475	3
117.06528128465308	15.898305084745765	0.004524886877828	5734	4.757638186173022	0.0386007237635705	0.0024125452352231	0.2002412545235223	0.0723763570566948	0.8866103739445115	0.0217129071170084	0.0772014475271411	3
47.24409448818897	6.085106382978723	0.0153846153846153	2309	3.258096538021482	0.0391304347826087	0.0	0.1956521739130435	0.017391304347826	0.8640350877192983	0.0350877192982456	0.0482456140350877	2
42.98011883277299	7.684210526315789	0.0147058823529411	5599	3.170179651863876	0.0515021459227467	0.0	0.2532188841201717	0.0343347639484978	0.8143459915611815	0.1308016877637131	0.0421940928270042	2
