video	level	teacher	wpm
140	Beginner	Yuki先生	91.70302477352617
141	Intermediate	Yuki先生	101.4862790230668
142	Complete Beginner	Yuki先生	60.964939470183396
143	Complete Beginner	Yuki先生	59.684995905953556
144	Intermediate	Yuki先生	115.19425200206938
145	Complete Beginner	Yuki先生	67.48870114365731
146	Intermediate	Yuki先生	123.41278777895721
147	Beginner	Yuki先生	99.14428294462071
148	Beginner	Yuki先生	114.14461533864447
149	Intermediate	Yuki先生	112.63520634611854
150	Complete Beginner	Yuki先生	74.47342016741045
151	Complete Beginner	Yuki先生	71.72057852058968
152	Complete Beginner	Yuki先生	68.16874400767018
153	Beginner	Yuki先生	94.45462872682481
154	Intermediate	Yuki先生	114.81778327981604
155	Intermediate	Yuki先生	112.48415068333185
156	Beginner	Yuki先生	98.78283775730479
157	Beginner	Yuki先生	75.79230116902086
158	Complete Beginner	Yuki先生	68.77707430856381
159	Intermediate	Yuki先生	110.3978644271019
160	Beginner	Yuki先生	91.71021784651049
161	Complete Beginner	Yuki先生	72.16132064125586
162	Beginner	Yuki先生	64.28709180065378
163	Beginner	Yuki先生	79.68664609189894
164	Intermediate	Yuki先生	122.02944518787955
165	Complete Beginner	Yuki先生	83.06247966025371
166	Complete Beginner	Yuki先生	74.75079938848047
167	Intermediate	Yuki先生	124.88913525498891
168	Intermediate	Yuki先生	122.93376313327886
169	Intermediate	Yuki先生	123.68113482190333
170	Complete Beginner	Yuki先生	88.9905726099173
171	Complete Beginner	Yuki先生	79.45372505858587
172	Beginner	Yuki先生	92.42157208318648
173	Intermediate	Yuki先生	121.38328516267055
174	Complete Beginner	Yuki先生	58.75737218318115
175	Intermediate	Yuki先生	119.35428646447002
176	Beginner	Yuki先生	84.87422410976804
177	Intermediate	Yuki先生	124.99867669242646
178	Complete Beginner	Yuki先生	84.61348411720616
179	Beginner	Yuki先生	83.90271698975799
180	Intermediate	Yuki先生	115.50728361134098
181	Complete Beginner	Yuki先生	73.00391915776522
182	Beginner	Yuki先生	96.30721143493767
183	Complete Beginner	Yuki先生	76.19499151309746
184	Complete Beginner	Yuki先生	83.47381906910944
185	Intermediate	Yuki先生	108.2884347951636
186	Beginner	Yuki先生	91.16695472277276
187	Complete Beginner	Yuki先生	69.9973750984338
188	Complete Beginner	Yuki先生	72.92843309877395
189	Intermediate	Yuki先生	109.59381789956461
190	Intermediate	Yuki先生	124.28975968968943
191	Intermediate	Yuki先生	113.81350965125546
192	Beginner	Yuki先生	95.32479772722328
193	Complete Beginner	Yuki先生	78.9495985823473
194	Complete Beginner	Yuki先生	72.0233969593773
195	Beginner	Yuki先生	89.5980069644833
196	Intermediate	Yuki先生	123.72577205435815
197	Intermediate	Yuki先生	124.67045600373177
198	Intermediate	Yuki先生	113.55279976476892
199	Complete Beginner	Yuki先生	68.91847762022631
200	Beginner	Yuki先生	93.07065055072196
201	Beginner	Yuki先生	95.80653084418506
202	Complete Beginner	Yuki先生	77.97485770920419
203	Intermediate	Yuki先生	131.181832497773
204	Beginner	Yuki先生	107.70548931023693
205	Intermediate	Yuki先生	132.83894549361287
206	Intermediate	Yuki先生	121.0050861883822
207	Complete Beginner	Yuki先生	86.06620768092414
208	Complete Beginner	Yuki先生	84.05920616451117
209	Beginner	Yuki先生	95.17717636936538
210	Complete Beginner	Yuki先生	80.65601399839434
211	Beginner	Yuki先生	81.92741849553406
212	Complete Beginner	Yuki先生	68.67514285911896
213	Intermediate	Yuki先生	133.02131612205827
214	Beginner	Yuki先生	79.13978617766766
215	Intermediate	Yuki先生	111.62002095818934
216	Complete Beginner	Yuki先生	71.2952266577392
217	Complete Beginner	Yuki先生	72.70516361417685
218	Beginner	Yuki先生	93.48449715422173
219	Intermediate	Yuki先生	115.99187975581843
220	Intermediate	Yuki先生	113.38342267664316
221	Beginner	Yuki先生	94.39888350627726
222	Complete Beginner	Yuki先生	71.77402037215118
223	Complete Beginner	Yuki先生	75.2637027692917
224	Intermediate	Yuki先生	113.44537806792795
225	Intermediate	Yuki先生	116.1861249306594
226	Beginner	Yuki先生	97.88337106449168
227	Intermediate	Yuki先生	109.53984133902334
228	Beginner	Yuki先生	92.7593649951867
229	Beginner	Yuki先生	70.3826486637944
230	Complete Beginner	Yuki先生	89.9799895560089
231	Intermediate	Yuki先生	137.04314183596685
232	Complete Beginner	Yuki先生	68.52128471029866
233	Beginner	Yuki先生	82.04356030442976
234	Intermediate	Yuki先生	103.17987247889614
235	Complete Beginner	Yuki先生	78.81934098757313
236	Complete Beginner	Yuki先生	76.91239461936719
237	Beginner	Yuki先生	98.85304526884701
238	Intermediate	Yuki先生	119.9567206722711
239	Complete Beginner	Yuki先生	75.56115196672603
240	Beginner	Yuki先生	84.70791880930116
241	Intermediate	Yuki先生	122.99710934876681
242	Complete Beginner	Yuki先生	58.641535828015506
243	Beginner	Yuki先生	94.51405315511649
244	Intermediate	Yuki先生	118.67400356483739
245	Complete Beginner	Yuki先生	71.9086558975497
246	Beginner	Yuki先生	101.57252117989171
247	Beginner	Yuki先生	80.32023321583877
248	Complete Beginner	Yuki先生	74.41810743370765
249	Complete Beginner	Yuki先生	74.99542710810306
250	Complete Beginner	Yuki先生	98.83609362637357
251	Intermediate	Yuki先生	125.10281537704752
252	Beginner	Yuki先生	102.56780172264808
253	Intermediate	Yuki先生	110.93439976443533
254	Intermediate	Yuki先生	119.78467392480094
255	Beginner	Yuki先生	88.11774358593505
256	Complete Beginner	Yuki先生	77.3967875871742
257	Intermediate	Yuki先生	112.94776202000102
258	Beginner	Yuki先生	94.32842255782337
259	Intermediate	Yuki先生	117.73839429273514
260	Beginner	Yuki先生	96.10783110146843
261	Complete Beginner	Yuki先生	86.78172249189419
262	Intermediate	Yuki先生	123.1944260594391
263	Complete Beginner	Yuki先生	77.16188110005587
264	Beginner	Yuki先生	94.6071033680543
265	Intermediate	Yuki先生	111.5459809958304
266	Complete Beginner	Yuki先生	82.6959074229602
267	Complete Beginner	Yuki先生	77.51929159819703
268	Beginner	Yuki先生	101.78076354927857
269	Beginner	Yuki先生	92.17961555366091
270	Complete Beginner	Yuki先生	89.29887948208032
271	Intermediate	Yuki先生	99.08185634172213
272	Intermediate	Yuki先生	93.94425440075257
273	Beginner	Yuki先生	109.04427367935928
274	Complete Beginner	Yuki先生	84.23055515936112
275	Intermediate	Yuki先生	211.98630136986392
276	Intermediate	Yuki先生	123.12281121579333
277	Complete Beginner	Yuki先生	63.88101075500147
278	Beginner	Yuki先生	95.72382490299573
279	Intermediate	Yuki先生	113.90876402837696
280	Complete Beginner	Yuki先生	65.95894809297761
281	Beginner	Yuki先生	79.4355554837979
282	Complete Beginner	Yuki先生	66.84796738632845
283	Intermediate	Yuki先生	106.88778924363324
284	Intermediate	Yuki先生	187.20798459895627
285	Intermediate	Yuki先生	116.44264851566066
286	Beginner	Yuki先生	78.01879607798762
287	Complete Beginner	Yuki先生	64.88094168525106
288	Beginner	Yuki先生	81.10106388398555
289	Complete Beginner	Yuki先生	74.82433758175087
290	Beginner	Yuki先生	89.32881889831665
291	Complete Beginner	Yuki先生	77.1844145520039
292	Beginner	Yuki先生	99.53914043992437
293	Intermediate	Yuki先生	143.42720040409142
294	Complete Beginner	Yuki先生	66.84324055333157
295	Beginner	Yuki先生	85.2235976308156
296	Intermediate	Yuki先生	136.09434302601767
297	Beginner	Yuki先生	105.94289426584528
298	Intermediate	Yuki先生	127.01518594969536
299	Beginner	Yuki先生	95.83232233488191
300	Complete Beginner	Yuki先生	78.06650405314194
301	Intermediate	Yuki先生	120.15124485521477
302	Complete Beginner	Yuki先生	86.70790589014099
303	Beginner	Yuki先生	90.48815763810283
304	Intermediate	Yuki先生	98.6697730396234
305	Complete Beginner	Yuki先生	80.86798901238528
306	Intermediate	Yuki先生	117.85196937297378
307	Complete Beginner	Yuki先生	79.64679644541548
308	Beginner	Yuki先生	79.28029917348321
309	Intermediate	Yuki先生	136.70981688318417
310	Beginner	Yuki先生	98.67578713891606
311	Complete Beginner	Yuki先生	64.80853500556138
312	Beginner	Yuki先生	94.08847543750483
313	Intermediate	Yuki先生	129.58075302393567
314	Beginner	Yuki先生	92.74935647557194
315	Complete Beginner	Yuki先生	75.50035742807133
316	Intermediate	Yuki先生	113.1117929920325
317	Beginner	Yuki先生	85.7929851217794
318	Beginner	Yuki先生	100.05911799323793
319	Complete Beginner	Yuki先生	76.66951109924902
320	Intermediate	Yuki先生	130.52832944021887
321	Complete Beginner	Yuki先生	75.03070447353404
322	Beginner	Yuki先生	102.72200289521136
323	Intermediate	Yuki先生	173.3403835985199
324	Complete Beginner	Yuki先生	72.0763370694138
325	Beginner	Yuki先生	84.62653286152705
326	Intermediate	Yuki先生	123.00110411198229
327	Beginner	Yuki先生	87.44471310364668
329	Complete Beginner	Yuki先生	82.60720275091916
330	Beginner	Yuki先生	101.58851709167567
331	Intermediate	Yuki先生	125.86958419608905
332	Complete Beginner	Yuki先生	71.68863260037631
333	Beginner	Yuki先生	116.15530854296013
334	Beginner	Yuki先生	83.8842063168999
335	Complete Beginner	Yuki先生	83.74002726492063
336	Intermediate	Yuki先生	124.30421648548293
338	Intermediate	Yuki先生	118.83707763559624
339	Intermediate	Yuki先生	128.117744251278
340	Beginner	Yuki先生	108.72174474049095
341	Complete Beginner	Yuki先生	80.3922835053304
342	Intermediate	Yuki先生	184.9050779441277
343	Beginner	Yuki先生	104.9334604921565
344	Intermediate	Yuki先生	128.90123016574006
345	Beginner	Yuki先生	84.1721040149669
346	Complete Beginner	Yuki先生	82.18548031300631
348	Beginner	Yuki先生	94.15567757716701
349	Complete Beginner	Yuki先生	77.42923756720246
350	Intermediate	Yuki先生	136.0324954307876
351	Complete Beginner	Yuki先生	84.02987255268297
352	Complete Beginner	Yuki先生	81.10692200288999
353	Complete Beginner	Yuki先生	82.64482638685695
354	Beginner	Yuki先生	109.85597107470845
355	Intermediate	Yuki先生	123.40042482864636
357	Complete Beginner	Yuki先生	82.96914380450741
358	Intermediate	Yuki先生	123.73279910372906
360	Intermediate	Yuki先生	131.6733971963967
361	Beginner	Yuki先生	101.72913398719845
362	Complete Beginner	Yuki先生	77.13228474787387
363	Intermediate	Yuki先生	120.79103419929733
364	Complete Beginner	Yuki先生	85.95757635450337
365	Beginner	Yuki先生	104.43662617575636
366	Intermediate	Yuki先生	159.72316884751663
367	Beginner	Yuki先生	102.63610441198473
368	Intermediate	Yuki先生	140.63442875574262
369	Complete Beginner	Yuki先生	100.70211734476196
370	Complete Beginner	Yuki先生	82.32027707207045
371	Intermediate	Yuki先生	135.05747814994524
373	Complete Beginner	Yuki先生	90.95475299192942
374	Complete Beginner	Yuki先生	89.66103155458103
375	Beginner	Yuki先生	104.89075962681005
376	Intermediate	Yuki先生	131.41666164409992
377	Complete Beginner	Yuki先生	79.93929717700975
378	Beginner	Yuki先生	98.58026141527974
379	Intermediate	Yuki先生	133.42855682307433
380	Beginner	Yuki先生	97.62720445029743
381	Intermediate	Yuki先生	119.99785131666948
382	Complete Beginner	Yuki先生	68.88122131013125
383	Beginner	Yuki先生	110.80142247802718
384	Intermediate	Yuki先生	126.52431387995486
385	Complete Beginner	Yuki先生	85.37973654252723
386	Beginner	Yuki先生	88.925213981713
387	Intermediate	Yuki先生	115.68814303535959
388	Complete Beginner	Yuki先生	75.31199406904925
389	Complete Beginner	Yuki先生	80.79232954723022
390	Beginner	Yuki先生	85.17420763056789
391	Intermediate	Yuki先生	116.78892305273041
392	Beginner	Yuki先生	94.97886083053106
393	Intermediate	Yuki先生	127.39001523682322
394	Beginner	Yuki先生	86.42633568590135
395	Complete Beginner	Yuki先生	87.04691943102011
396	Intermediate	Yuki先生	107.63721779127235
397	Complete Beginner	Yuki先生	65.91827626993266
398	Beginner	Yuki先生	97.42366146147927
399	Intermediate	Yuki先生	128.71609028327853
400	Complete Beginner	Yuki先生	84.8108407332826
401	Beginner	Yuki先生	103.28384758859437
402	Intermediate	Yuki先生	117.65583445896712
403	Complete Beginner	Yuki先生	85.00321539784532
404	Beginner	Yuki先生	106.01249408830394
405	Intermediate	Yuki先生	125.49871672256218
406	Beginner	Yuki先生	85.35991282683565
